GeneID,Base-mean,log2_FC,StdErr,Wald-Stats,P-value,P-adj,chr,start,stop,strand,NA,genename
ENSMUSG00000049103,746.2725248,2.687997528,0.259980623,10.33922256,4.68E-25,3.35E-22,chr9,124101949,124113557,+,protein_coding,Ccr2
ENSMUSG00000003420,1052.031103,2.366862245,0.233197434,10.14960675,3.33E-24,2.25E-21,chr7,45092989,45103851,-,protein_coding,Fcgrt
ENSMUSG00000092341,46218.96298,-1.471756019,0.145855136,-10.09053268,6.08E-24,3.92E-21,chr19,5795689,5802672,-,lincRNA,Malat1
ENSMUSG00000035901,362.9223388,2.782149228,0.276431107,10.06453022,7.93E-24,4.86E-21,chr7,109893779,109960470,-,protein_coding,Dennd5a
ENSMUSG00000030247,199.029876,3.066273277,0.305306046,10.04327728,9.84E-24,5.76E-21,chr6,142564836,142571614,-,protein_coding,Kcnj8
ENSMUSG00000054206,434.3156452,2.343209027,0.233440936,10.03769546,1.04E-23,5.83E-21,chr10,79689019,79695261,+,protein_coding,Gzmm
ENSMUSG00000032204,303.3870757,2.787196179,0.280405804,9.939866223,2.79E-23,1.50E-20,chr9,71110658,71168657,-,protein_coding,Aqp9
ENSMUSG00000031652,1097.104335,2.241275125,0.228344033,9.815343529,9.67E-23,4.98E-20,chr8,86841138,86885258,-,protein_coding,N4bp1
ENSMUSG00000015314,460.9254154,-2.28520922,0.236120194,-9.678160872,3.73E-22,1.85E-19,chr1,171917514,171953170,+,protein_coding,Slamf6
ENSMUSG00000026728,4346.004244,1.767673655,0.182926775,9.663285524,4.32E-22,2.06E-19,chr2,13573926,13582826,+,protein_coding,Vim
ENSMUSG00000038393,3563.978914,1.495499828,0.159368688,9.383899951,6.36E-21,2.92E-18,chr3,96557956,96561883,+,protein_coding,Txnip
ENSMUSG00000030789,191.4122289,2.765684432,0.300965759,9.189365733,3.95E-20,1.75E-17,chr7,128129546,128150657,+,protein_coding,Itgax
ENSMUSG00000042082,492.4990719,1.984206537,0.216766347,9.153665066,5.50E-20,2.36E-17,chr13,93771629,93943016,+,protein_coding,Arsb
ENSMUSG00000026989,147.581333,-3.036775363,0.333660817,-9.101384419,8.92E-20,3.70E-17,chr2,59484652,59505020,+,protein_coding,Dapl1
ENSMUSG00000027778,317.9789817,-2.230750723,0.249585623,-8.937817399,3.97E-19,1.60E-16,chr3,68892498,69004570,-,protein_coding,Ift80
ENSMUSG00000000817,209.3051715,2.608544369,0.29664066,8.793617059,1.45E-18,5.65E-16,chr1,161780688,161788495,-,protein_coding,Fasl
ENSMUSG00000104235,439.0459768,-2.311313813,0.268330047,-8.613697327,7.07E-18,2.68E-15,chr3,60535750,60539744,+,TEC,Gm37589
ENSMUSG00000044447,611.0948593,1.743274081,0.202881849,8.592558132,8.51E-18,3.13E-15,chr14,67752134,67933432,-,protein_coding,Dock5
ENSMUSG00000021756,1389.163625,-1.569319275,0.189407605,-8.285407926,1.18E-16,4.21E-14,chr13,112464069,112510086,+,protein_coding,Il6st
ENSMUSG00000007872,85.04286015,-3.388230897,0.409550528,-8.273047311,1.31E-16,4.54E-14,chr4,136143496,136145392,+,protein_coding,Id3
ENSMUSG00000101609,1798.834107,-1.675217693,0.202845957,-8.258570771,1.47E-16,5.00E-14,chr7,143203457,143296549,-,antisense,Kcnq1ot1
ENSMUSG00000068220,740.7782581,1.705315539,0.208164921,8.192136958,2.57E-16,8.47E-14,chr15,78926724,78930465,+,protein_coding,Lgals1
ENSMUSG00000097295,454.0616018,-2.086904602,0.255734674,-8.160428825,3.34E-16,1.07E-13,chr10,22262741,22263367,-,processed_pseudogene,Hmgb1-ps8
ENSMUSG00000076258,592155.9532,1.159260987,0.142619576,8.128344063,4.35E-16,1.37E-13,chr16,11144124,11144181,+,miRNA,Gm23935
ENSMUSG00000068227,5246.294797,1.225474776,0.151202867,8.104838224,5.28E-16,1.62E-13,chr15,78479255,78495271,-,protein_coding,Il2rb
ENSMUSG00000034165,795.279341,1.590528208,0.198957123,7.994326517,1.30E-15,3.90E-13,chr17,47505050,47599691,+,protein_coding,Ccnd3
ENSMUSG00000073491,712.5785847,-1.601257442,0.201287986,-7.955057206,1.79E-15,5.24E-13,chr1,173566282,173599274,-,protein_coding,Ifi213
ENSMUSG00000037202,921.5689988,1.551945614,0.195322535,7.945553311,1.93E-15,5.53E-13,chr10,61297832,61304680,+,protein_coding,Prf1
ENSMUSG00000025017,293.993407,1.999567173,0.253243075,7.89584148,2.88E-15,8.07E-13,chr19,41274217,41385070,-,protein_coding,Pik3ap1
ENSMUSG00000111212,212.9380773,-2.25140603,0.287101625,-7.841843562,4.44E-15,1.22E-12,chr9,13308213,13312446,+,TEC,Gm47087
ENSMUSG00000057219,855.6321523,1.538480359,0.200325262,7.679911897,1.59E-14,4.27E-12,chr11,115475666,115490467,+,protein_coding,Armc7
ENSMUSG00000030577,222.0699426,2.374579992,0.311489765,7.623300214,2.47E-14,6.50E-12,chr7,30865401,30880334,-,protein_coding,Cd22
ENSMUSG00000000303,134.1223092,2.567004414,0.339552366,7.559966214,4.03E-14,1.02E-11,chr8,106603350,106670246,+,protein_coding,Cdh1
ENSMUSG00000015143,941.2541315,-1.783173283,0.235865634,-7.560123337,4.03E-14,1.02E-11,chr12,80167546,80260371,-,protein_coding,Actn1
ENSMUSG00000097838,352.8094537,-2.019164432,0.268346242,-7.524474415,5.29E-14,1.31E-11,chr13,24631917,24638567,-,lincRNA,C530050E15Rik
ENSMUSG00000115681,2108.45167,-1.299948523,0.173990203,-7.47138921,7.94E-14,1.93E-11,chr15,60120539,60187408,-,lincRNA,AC140209.1
ENSMUSG00000095115,169.2328342,2.299569514,0.308969783,7.44270035,9.86E-14,2.35E-11,chr7,118485110,118491975,-,protein_coding,Itpripl2
ENSMUSG00000041481,297.7492029,2.377330528,0.319955351,7.430194623,1.08E-13,2.54E-11,chr12,104236251,104241939,+,protein_coding,Serpina3g
ENSMUSG00000022587,2605.598407,1.199519873,0.161927166,7.407774156,1.28E-13,2.95E-11,chr15,74955050,74959905,+,protein_coding,Ly6e
ENSMUSG00000023243,130.6981232,2.778812081,0.380623712,7.300680411,2.86E-13,6.36E-11,chr14,20140056,20181809,-,protein_coding,Kcnk5
ENSMUSG00000048120,129.1896999,2.821470598,0.386468467,7.300648922,2.86E-13,6.36E-11,chr19,40612396,40741602,+,protein_coding,Entpd1
ENSMUSG00000076613,157.6012789,2.854629006,0.395534267,7.217147148,5.31E-13,1.16E-10,chr12,113302964,113307933,-,IG_C_gene,Ighg2b
ENSMUSG00000102189,17150.2866,1.36802836,0.193116649,7.083948316,1.40E-12,3.01E-10,chr14,50061359,50064390,+,TEC,Gm37194
ENSMUSG00000031431,931.3404393,1.652032466,0.233609145,7.071779946,1.53E-12,3.23E-10,chrX,140539527,140600659,-,protein_coding,Tsc22d3
ENSMUSG00000111264,146.0332311,-2.332612645,0.330014048,-7.068222285,1.57E-12,3.26E-10,chr9,44618252,44621018,+,TEC,E030022I16Rik
ENSMUSG00000024659,52.51979936,3.062559684,0.434186191,7.053563077,1.74E-12,3.56E-10,chr19,20373427,20390944,-,protein_coding,Anxa1
ENSMUSG00000022912,82.45035589,2.849697732,0.406149004,7.016384876,2.28E-12,4.58E-10,chr16,62854306,62929346,+,protein_coding,Pros1
ENSMUSG00000025357,3645.510917,-1.093127151,0.155883917,-7.012443453,2.34E-12,4.62E-10,chr10,128720133,128744075,-,protein_coding,Dgka
ENSMUSG00000023830,1724.441412,1.417549054,0.202196015,7.010766529,2.37E-12,4.62E-10,chr17,12682405,12769664,-,protein_coding,Igf2r
ENSMUSG00000030688,126.1256505,2.36029001,0.337354856,6.996460753,2.63E-12,5.05E-10,chr7,101317085,101346626,+,protein_coding,Stard10
ENSMUSG00000004263,946.0617828,1.656538516,0.238017659,6.959729468,3.41E-12,6.46E-10,chr6,124742543,124756524,-,protein_coding,Atn1
ENSMUSG00000025809,2466.726653,1.155828787,0.166838958,6.927811104,4.27E-12,7.98E-10,chr8,128685653,128733200,+,protein_coding,Itgb1
ENSMUSG00000034612,435.6711696,1.644949025,0.237737793,6.919173442,4.54E-12,8.36E-10,chr10,82985497,83195900,+,protein_coding,Chst11
ENSMUSG00000103216,309.5024738,-1.712543273,0.248733574,-6.885050719,5.78E-12,1.05E-09,chr17,51796016,51799190,-,TEC,Gm37248
ENSMUSG00000026764,214.5475107,2.310198757,0.336908966,6.857041488,7.03E-12,1.26E-09,chr2,49619297,49774778,+,protein_coding,Kif5c
ENSMUSG00000020601,184.4059979,-2.291094248,0.335089388,-6.837262928,8.07E-12,1.42E-09,chr12,15791726,15816922,-,protein_coding,Trib2
ENSMUSG00000040659,964.3774002,1.294614524,0.190416461,6.798858236,1.05E-11,1.83E-09,chr4,141858141,141874920,-,protein_coding,Efhd2
ENSMUSG00000032640,1538.589676,1.161659284,0.171927084,6.756697412,1.41E-11,2.42E-09,chr7,66109514,66173798,+,protein_coding,Chsy1
ENSMUSG00000026833,71.05427257,2.846093627,0.422352679,6.738665967,1.60E-11,2.69E-09,chr2,28192991,28230736,+,protein_coding,Olfm1
ENSMUSG00000044072,79.3915867,2.751894373,0.408435809,6.737642281,1.61E-11,2.69E-09,chr11,29743047,30026033,-,protein_coding,Eml6
ENSMUSG00000097705,450.4020325,-1.849734022,0.280490699,-6.594635854,4.26E-11,7.04E-09,chr10,22187012,22302835,-,antisense,Gm26740
ENSMUSG00000001444,633.9980312,1.387758119,0.211870557,6.550028184,5.75E-11,9.38E-09,chr11,97098070,97115331,-,protein_coding,Tbx21
ENSMUSG00000081219,35.46158502,-3.033801466,0.464052522,-6.537625214,6.25E-11,1.01E-08,chr2,122466934,122467526,-,processed_pseudogene,Bambi-ps1
ENSMUSG00000069911,369.1338515,-1.741269684,0.26816063,-6.493383033,8.39E-11,1.33E-08,chr11,34314821,34422640,+,protein_coding,Fam196b
ENSMUSG00000076922,141.8275577,-2.104634479,0.32436251,-6.488525686,8.67E-11,1.36E-08,chr14,54212687,54212749,+,TR_J_gene,Traj6
ENSMUSG00000026509,693.4188415,1.33587002,0.206724007,6.462094281,1.03E-10,1.60E-08,chr1,182467259,182517524,-,protein_coding,Capn2
ENSMUSG00000103253,193.0973029,-1.992231722,0.30905982,-6.446103943,1.15E-10,1.76E-08,chr2,11190640,11193312,-,TEC,Gm37520
ENSMUSG00000057329,2811.857538,1.059935056,0.164584437,6.440068558,1.19E-10,1.81E-08,chr1,106538177,106714274,-,protein_coding,Bcl2
ENSMUSG00000043753,315.6800486,1.604932199,0.249604083,6.429911649,1.28E-10,1.91E-08,chr4,89688197,89694772,+,protein_coding,Dmrta1
ENSMUSG00000032402,978.7746627,1.15903654,0.180487216,6.421709899,1.35E-10,1.99E-08,chr9,63646766,63757994,-,protein_coding,Smad3
ENSMUSG00000027639,2736.292713,1.078070639,0.169319263,6.367087959,1.93E-10,2.82E-08,chr2,157097532,157135265,-,protein_coding,Samhd1
ENSMUSG00000018341,78.67121019,2.4407214,0.385407458,6.332833869,2.41E-10,3.44E-08,chr6,67291317,67376188,-,protein_coding,Il12rb2
ENSMUSG00000030283,209.0560846,-1.970334834,0.311259899,-6.330191716,2.45E-10,3.46E-08,chr6,142821544,142964452,-,protein_coding,St8sia1
ENSMUSG00000038352,289.2749284,-1.583109638,0.250363445,-6.323245939,2.56E-10,3.58E-08,chr11,97989577,97996181,-,protein_coding,Arl5c
ENSMUSG00000102642,181.3432718,-1.872185265,0.296718414,-6.309636262,2.80E-10,3.87E-08,chr1,54913844,54916594,-,TEC,A130048G24Rik
ENSMUSG00000067235,127.5000751,2.086899175,0.330897485,6.306784646,2.85E-10,3.90E-08,chr17,35470088,35474563,+,protein_coding,H2-Q10
ENSMUSG00000044177,130.4789733,2.274340996,0.362492644,6.274171443,3.52E-10,4.76E-08,chr11,94235955,94242707,-,protein_coding,Wfikkn2
ENSMUSG00000069516,71.35481548,2.848037228,0.455265564,6.255771256,3.96E-10,5.31E-08,chr10,117277330,117282321,-,protein_coding,Lyz2
ENSMUSG00000003559,136.5793671,2.072644723,0.332973338,6.224656712,4.83E-10,6.41E-08,chr19,46707442,46741095,+,protein_coding,As3mt
ENSMUSG00000024014,559.3909029,1.317186587,0.212726869,6.191914517,5.94E-10,7.81E-08,chr17,29490811,29496111,+,protein_coding,Pim1
ENSMUSG00000030930,129.6305484,-2.112597371,0.343080411,-6.157732419,7.38E-10,9.60E-08,chr7,132235779,132317228,-,protein_coding,Chst15
ENSMUSG00000103094,140.8221781,-2.035171319,0.330820297,-6.151893752,7.66E-10,9.86E-08,chr3,69119741,69122724,-,TEC,Gm37558
ENSMUSG00000097636,328.6470082,-1.67274975,0.272076632,-6.148083126,7.84E-10,1.00E-07,chr19,53441211,53464796,-,lincRNA,Mirt1
ENSMUSG00000038151,95.786152,2.255755816,0.368003079,6.129719954,8.80E-10,1.11E-07,chr10,44437176,44458748,-,protein_coding,Prdm1
ENSMUSG00000024548,206.2954906,1.869012291,0.306231938,6.103257226,1.04E-09,1.30E-07,chr18,78750379,79109391,-,protein_coding,Setbp1
ENSMUSG00000050179,31.01584348,-2.84401116,0.46643029,-6.097398091,1.08E-09,1.33E-07,chr3,107090879,107098401,+,lincRNA,A930002I21Rik
ENSMUSG00000028885,71.99325688,2.420499555,0.397671376,6.086682881,1.15E-09,1.41E-07,chr4,132732965,132757252,-,protein_coding,Smpdl3b
ENSMUSG00000017707,1673.280296,1.119942,0.184152976,6.081585118,1.19E-09,1.45E-07,chr2,163623271,163645131,-,protein_coding,Serinc3
ENSMUSG00000047146,78.630394,-2.483232388,0.411923216,-6.028386582,1.66E-09,1.99E-07,chr10,62804569,62908996,-,protein_coding,Tet1
ENSMUSG00000097971,322450.329,2.37285272,0.394922668,6.008398382,1.87E-09,2.23E-07,chr17,39843012,39846341,+,lincRNA,Gm26917
ENSMUSG00000051934,36.19740172,2.741536425,0.458484342,5.979563917,2.24E-09,2.64E-07,chr15,99125915,99213215,+,protein_coding,Spats2
ENSMUSG00000046447,63.53733681,2.456019535,0.41259481,5.952618581,2.64E-09,3.09E-07,chr4,138454313,138460123,+,protein_coding,Camk2n1
ENSMUSG00000097344,124.987441,-1.984854423,0.334445555,-5.934760962,2.94E-09,3.41E-07,chr16,44329996,44333050,+,lincRNA,Gm26732
ENSMUSG00000044393,69.49125109,2.499553651,0.424436404,5.889112305,3.88E-09,4.46E-07,chr18,20558073,20604521,+,protein_coding,Dsg2
ENSMUSG00000032446,1639.877471,1.070377749,0.18256368,5.863037751,4.54E-09,5.13E-07,chr9,118478211,118486132,+,protein_coding,Eomes
ENSMUSG00000042284,139.2406262,2.370792177,0.404303065,5.863898605,4.52E-09,5.13E-07,chr13,114953095,115101964,-,protein_coding,Itga1
ENSMUSG00000044258,349.9417843,1.371889881,0.234195628,5.857879994,4.69E-09,5.25E-07,chr13,60934154,60936625,-,protein_coding,Ctla2a
ENSMUSG00000038976,2655.191309,1.021106826,0.176315158,5.791372893,6.98E-09,7.75E-07,chr11,94991034,95006899,+,protein_coding,Ppp1r9b
ENSMUSG00000109536,364.8778441,-1.492623476,0.257806547,-5.789703536,7.05E-09,7.76E-07,chr7,59223846,59254788,-,TEC,9330162G02Rik
ENSMUSG00000007564,752.3842283,1.140367505,0.198406848,5.747621708,9.05E-09,9.88E-07,chr17,20945310,20965916,+,protein_coding,Ppp2r1a
ENSMUSG00000021843,654.2887669,-1.22312609,0.212894928,-5.745210105,9.18E-09,9.93E-07,chr14,47648447,47739894,+,protein_coding,Ktn1
ENSMUSG00000101970,646.8008152,-1.250490342,0.218103931,-5.733460804,9.84E-09,1.05E-06,chr7,73539202,73558395,-,processed_transcript,1810026B05Rik
ENSMUSG00000047777,176.2527651,1.720115761,0.300117443,5.731475461,9.96E-09,1.05E-06,chr4,151989632,151996258,-,protein_coding,Phf13
ENSMUSG00000028599,513.884417,1.330272669,0.232295306,5.726644633,1.02E-08,1.07E-06,chr4,145213462,145246870,-,protein_coding,Tnfrsf1b
ENSMUSG00000109539,93.51010153,-2.082564496,0.365981268,-5.69035816,1.27E-08,1.31E-06,chr7,67268905,67272242,-,TEC,Gm44667
ENSMUSG00000039531,316.4818183,-1.383674822,0.243133902,-5.690999124,1.26E-08,1.31E-06,chr10,33919141,33951259,-,protein_coding,Zufsp
ENSMUSG00000000244,83.24303076,-2.147325219,0.377829455,-5.68331873,1.32E-08,1.35E-06,chr7,143005045,143019644,+,protein_coding,Tspan32
ENSMUSG00000031802,52.12078434,-2.495756976,0.440495469,-5.665794882,1.46E-08,1.48E-06,chr9,13431360,13432751,+,TEC,Phxr4
ENSMUSG00000024511,27.24223165,2.630794754,0.467385186,5.628750829,1.82E-08,1.83E-06,chr18,69979130,70141605,-,protein_coding,Rab27b
ENSMUSG00000038991,522.8152636,1.243958559,0.222311857,5.595556516,2.20E-08,2.16E-06,chr13,38500078,38528824,-,protein_coding,Txndc5
ENSMUSG00000046169,181.3851354,-1.63684613,0.292460371,-5.596813426,2.18E-08,2.16E-06,chr13,104287872,104496592,+,protein_coding,Adamts6
ENSMUSG00000042349,877.5320149,-1.060939057,0.190229223,-5.577161276,2.44E-08,2.37E-06,chr1,131254596,131279606,-,protein_coding,Ikbke
ENSMUSG00000033965,68.61833251,2.270845714,0.40719563,5.576792945,2.45E-08,2.37E-06,chrX,103697413,103821983,-,protein_coding,Slc16a2
ENSMUSG00000027346,338.6638431,-1.380327794,0.247780088,-5.570777726,2.54E-08,2.42E-06,chr2,132529081,132587729,-,protein_coding,Gpcpd1
ENSMUSG00000028937,308.0092849,1.54634033,0.27759925,5.570405292,2.54E-08,2.42E-06,chr4,152178133,152271855,+,protein_coding,Acot7
ENSMUSG00000035000,868.3430133,-1.083471323,0.194803444,-5.561869436,2.67E-08,2.53E-06,chr2,62330072,62412231,-,protein_coding,Dpp4
ENSMUSG00000097289,69.68532278,-2.231275601,0.40293834,-5.537511271,3.07E-08,2.88E-06,chr11,96712981,96747436,-,lincRNA,2010300F17Rik
ENSMUSG00000099757,571.111472,-1.558083132,0.28150003,-5.534930601,3.11E-08,2.91E-06,chr19,11470165,11484578,-,processed_transcript,BE692007
ENSMUSG00000102212,472.0652826,-1.235084061,0.223569253,-5.524391419,3.31E-08,3.06E-06,chr17,51757294,51761621,-,TEC,C230085N15Rik
ENSMUSG00000052632,228.8084533,1.544890475,0.27978231,5.521758956,3.36E-08,3.09E-06,chr12,21111747,21270171,+,protein_coding,Asap2
ENSMUSG00000116433,196.5423595,-1.729964101,0.313996954,-5.50949326,3.60E-08,3.29E-06,chr15,80640457,80642408,+,TEC,AC147041.2
ENSMUSG00000049044,253.900519,-1.428066998,0.260166269,-5.489055156,4.04E-08,3.66E-06,chr2,71981239,72257474,+,protein_coding,Rapgef4
ENSMUSG00000004207,1270.190619,1.085517794,0.197858721,5.486327772,4.10E-08,3.70E-06,chr10,60277626,60302597,+,protein_coding,Psap
ENSMUSG00000032666,636.9426171,1.118151116,0.204287258,5.473425636,4.41E-08,3.95E-06,chr1,151884523,152090125,-,protein_coding,1700025G04Rik
ENSMUSG00000033826,1554.351046,-1.058352991,0.193532558,-5.468604356,4.54E-08,4.03E-06,chr17,30624353,30875264,+,protein_coding,Dnah8
ENSMUSG00000029050,934.1243661,1.051090904,0.193121108,5.442651578,5.25E-08,4.63E-06,chr4,155154074,155222592,-,protein_coding,Ski
ENSMUSG00000032267,293.5965446,-1.440008711,0.265179689,-5.430312987,5.63E-08,4.93E-06,chr9,48985374,49042517,+,protein_coding,Usp28
ENSMUSG00000042121,573.1244783,1.396276016,0.257245306,5.427799787,5.71E-08,4.93E-06,chr5,113937093,113993894,-,protein_coding,Ssh1
ENSMUSG00000025366,2275.890609,1.089386293,0.200710066,5.427661481,5.71E-08,4.93E-06,chr10,128509964,128525870,-,protein_coding,Esyt1
ENSMUSG00000030103,105.3018293,2.138760055,0.395503657,5.407687177,6.38E-08,5.48E-06,chr6,108660628,108666925,+,protein_coding,Bhlhe40
ENSMUSG00000032420,506.2402359,1.169770624,0.216647469,5.399419761,6.69E-08,5.70E-06,chr9,88327196,88372092,+,protein_coding,Nt5e
ENSMUSG00000075602,123.6510374,2.195443882,0.408061831,5.380174556,7.44E-08,6.26E-06,chr15,74994876,74998031,-,protein_coding,Ly6a
ENSMUSG00000093894,24.0497853,2.515043208,0.469032929,5.362188985,8.22E-08,6.87E-06,chr12,115158402,115158835,-,IG_V_gene,Ighv1-53
ENSMUSG00000061859,405.5566503,-1.213266374,0.22635794,-5.359946178,8.32E-08,6.92E-06,chr4,98395790,98719603,+,protein_coding,Patj
ENSMUSG00000034353,37.2806377,-2.468624256,0.46120546,-5.35254777,8.67E-08,7.16E-06,chr1,91179821,91225196,+,protein_coding,Ramp1
ENSMUSG00000061436,520.7913323,1.150085165,0.215031171,5.348457903,8.87E-08,7.28E-06,chr6,38694389,38876165,-,protein_coding,Hipk2
ENSMUSG00000038147,771.3959337,-1.038743293,0.194563621,-5.338836157,9.35E-08,7.59E-06,chr1,171839696,171890718,+,protein_coding,Cd84
ENSMUSG00000029860,2150.767922,1.020005254,0.191469052,5.327259134,9.97E-08,8.02E-06,chr6,42349629,42360213,+,protein_coding,Zyx
ENSMUSG00000104125,235.5055734,-1.551651805,0.292219651,-5.309881797,1.10E-07,8.77E-06,chr3,60604383,60607757,+,TEC,Gm37488
ENSMUSG00000005873,314.326233,1.434039619,0.270167052,5.307973744,1.11E-07,8.81E-06,chr18,34344888,34373415,-,protein_coding,Reep5
ENSMUSG00000090272,1310.239903,-1.047325876,0.197553321,-5.301484541,1.15E-07,9.07E-06,chr1,173857219,173942491,-,protein_coding,Mndal
ENSMUSG00000001228,139.0334159,1.838347209,0.346900541,5.299349507,1.16E-07,9.13E-06,chr17,56303320,56323486,+,protein_coding,Uhrf1
ENSMUSG00000031428,188.8154187,1.538926664,0.290636274,5.295026126,1.19E-07,9.29E-06,chrX,136993154,136998472,+,protein_coding,Zcchc18
ENSMUSG00000105986,162.1785937,-1.621179085,0.308591841,-5.253473592,1.49E-07,1.15E-05,chr3,103864705,103866797,+,sense_intronic,Gm43065
ENSMUSG00000026872,77.91645552,2.061707686,0.393522998,5.239103417,1.61E-07,1.23E-05,chr2,44983631,45117395,-,protein_coding,Zeb2
ENSMUSG00000029530,54.16196226,-2.262042069,0.432028866,-5.235858642,1.64E-07,1.24E-05,chr9,123678438,123784330,+,protein_coding,Ccr9
ENSMUSG00000027544,1215.182412,1.075405502,0.206212821,5.215027341,1.84E-07,1.36E-05,chr2,168476409,168601657,-,protein_coding,Nfatc2
ENSMUSG00000103168,39.42337164,-2.414380378,0.463976856,-5.203665548,1.95E-07,1.43E-05,chr12,115262683,115287908,+,lincRNA,Gm30948
ENSMUSG00000032601,367.6955816,1.33936315,0.257638301,5.198618151,2.01E-07,1.46E-05,chr9,108689313,108750436,+,protein_coding,Prkar2a
ENSMUSG00000023015,595.3304823,1.137116857,0.219127135,5.189301904,2.11E-07,1.53E-05,chr15,99620495,99651656,-,protein_coding,Racgap1
ENSMUSG00000078945,225.2887347,1.463362124,0.282248325,5.184661848,2.16E-07,1.56E-05,chr13,100144062,100202092,-,protein_coding,Naip2
ENSMUSG00000103261,47.90510195,2.365959177,0.456974161,5.177446295,2.25E-07,1.61E-05,chr3,84058967,84063452,-,TEC,Gm36981
ENSMUSG00000020108,250.1985159,1.490702156,0.289198049,5.154606544,2.54E-07,1.81E-05,chr10,59949668,59951834,-,protein_coding,Ddit4
ENSMUSG00000000127,42.37451167,2.308026074,0.448005399,5.151781832,2.58E-07,1.83E-05,chr17,63896017,64139494,+,protein_coding,Fer
ENSMUSG00000007029,1366.684219,1.069903376,0.207858034,5.147279407,2.64E-07,1.86E-05,chr17,35000986,35016322,+,protein_coding,Vars
ENSMUSG00000052949,216.2004019,1.626511594,0.317066764,5.129870987,2.90E-07,2.02E-05,chr11,116336352,116413004,-,protein_coding,Rnf157
ENSMUSG00000108129,54.8872136,-2.233349664,0.43550232,-5.128215308,2.93E-07,2.03E-05,chr6,125265475,125287286,+,processed_transcript,4930417O13Rik
ENSMUSG00000111086,60.92228562,-2.214163935,0.432545123,-5.118920126,3.07E-07,2.12E-05,chr10,42886704,42888797,-,lincRNA,Gm48671
ENSMUSG00000091575,1156.196764,-1.14634959,0.224006952,-5.117473274,3.10E-07,2.12E-05,chr3,106481981,106485913,-,processed_transcript,2010016I18Rik
ENSMUSG00000100426,60.85783912,2.296418516,0.449279155,5.111340006,3.20E-07,2.18E-05,chr1,62821354,62832370,-,lincRNA,Gm4208
ENSMUSG00000042508,585.0839113,-1.220613033,0.240109915,-5.083559481,3.70E-07,2.51E-05,chr5,9118800,9161776,-,protein_coding,Dmtf1
ENSMUSG00000087340,45.37404336,2.383765441,0.469063862,5.081963535,3.74E-07,2.52E-05,chrX,167164096,167171278,+,lincRNA,Gm15228
ENSMUSG00000076463,136.8929966,-1.96750819,0.387491855,-5.077547221,3.82E-07,2.56E-05,chr6,41048289,41048828,+,TR_V_gene,Trbv3
