initial_alias,converted_alias,name,description,namespace
ENSMUSG00000031431,ENSMUSG00000031431,Tsc22d3,"TSC22 domain family, member 3 [Source:MGI Symbol;Acc:MGI:1196284]","ARRAYEXPRESS,ENSG"
ENSMUSG00000043753,ENSMUSG00000043753,Dmrta1,doublesex and mab-3 related transcription factor like family A1 [Source:MGI Symbol;Acc:MGI:2653627],"ARRAYEXPRESS,ENSG"
ENSMUSG00000019982,ENSMUSG00000019982,Myb,myeloblastosis oncogene [Source:MGI Symbol;Acc:MGI:97249],"ARRAYEXPRESS,ENSG"
ENSMUSG00000045382,ENSMUSG00000045382,Cxcr4,chemokine (C-X-C motif) receptor 4 [Source:MGI Symbol;Acc:MGI:109563],"ARRAYEXPRESS,ENSG"
ENSMUSG00000035042,ENSMUSG00000035042,Ccl5,chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262],"ARRAYEXPRESS,ENSG"
ENSMUSG00000022912,ENSMUSG00000022912,Pros1,protein S (alpha) [Source:MGI Symbol;Acc:MGI:1095733],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025314,ENSMUSG00000025314,Ptprj,"protein tyrosine phosphatase, receptor type, J [Source:MGI Symbol;Acc:MGI:104574]","ARRAYEXPRESS,ENSG"
ENSMUSG00000111118,ENSMUSG00000111118,Gm6545,predicted gene 6545 [Source:MGI Symbol;Acc:MGI:3643874],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104235,ENSMUSG00000104235,Gm37589,"predicted gene, 37589 [Source:MGI Symbol;Acc:MGI:5610817]","ARRAYEXPRESS,ENSG"
ENSMUSG00000026764,ENSMUSG00000026764,Kif5c,kinesin family member 5C [Source:MGI Symbol;Acc:MGI:1098269],"ARRAYEXPRESS,ENSG"
ENSMUSG00000047146,ENSMUSG00000047146,Tet1,tet methylcytosine dioxygenase 1 [Source:MGI Symbol;Acc:MGI:1098693],"ARRAYEXPRESS,ENSG"
ENSMUSG00000044072,ENSMUSG00000044072,Eml6,echinoderm microtubule associated protein like 6 [Source:MGI Symbol;Acc:MGI:2442895],"ARRAYEXPRESS,ENSG"
ENSMUSG00000044468,ENSMUSG00000044468,Tent5c,terminal nucleotidyltransferase 5C [Source:MGI Symbol;Acc:MGI:1921895],"ARRAYEXPRESS,ENSG"
ENSMUSG00000073491,ENSMUSG00000073491,Ifi213,interferon activated gene 213 [Source:MGI Symbol;Acc:MGI:3695276],"ARRAYEXPRESS,ENSG"
ENSMUSG00000042284,ENSMUSG00000042284,Itga1,integrin alpha 1 [Source:MGI Symbol;Acc:MGI:96599],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046447,ENSMUSG00000046447,Camk2n1,calcium/calmodulin-dependent protein kinase II inhibitor 1 [Source:MGI Symbol;Acc:MGI:1913509],"ARRAYEXPRESS,ENSG"
ENSMUSG00000045817,ENSMUSG00000045817,Zfp36l2,"zinc finger protein 36, C3H type-like 2 [Source:MGI Symbol;Acc:MGI:107945]","ARRAYEXPRESS,ENSG"
ENSMUSG00000021796,ENSMUSG00000021796,Bmpr1a,"bone morphogenetic protein receptor, type 1A [Source:MGI Symbol;Acc:MGI:1338938]","ARRAYEXPRESS,ENSG"
ENSMUSG00000053580,ENSMUSG00000053580,Tanc2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]","ARRAYEXPRESS,ENSG"
ENSMUSG00000079017,ENSMUSG00000079017,Ifi27l2a,"interferon, alpha-inducible protein 27 like 2A [Source:MGI Symbol;Acc:MGI:1924183]","ARRAYEXPRESS,ENSG"
ENSMUSG00000101609,ENSMUSG00000101609,Kcnq1ot1,KCNQ1 overlapping transcript 1 [Source:MGI Symbol;Acc:MGI:1926855],"ARRAYEXPRESS,ENSG"
ENSMUSG00000065041,ENSMUSG00000065041,Gm24044,"predicted gene, 24044 [Source:MGI Symbol;Acc:MGI:5453821]","ARRAYEXPRESS,ENSG"
ENSMUSG00000092341,ENSMUSG00000092341,Malat1,metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA) [Source:MGI Symbol;Acc:MGI:1919539],"ARRAYEXPRESS,ENSG"
ENSMUSG00000032690,ENSMUSG00000032690,Oas2,2'-5' oligoadenylate synthetase 2 [Source:MGI Symbol;Acc:MGI:2180852],"ARRAYEXPRESS,ENSG"
ENSMUSG00000068036,ENSMUSG00000068036,Afdn,"afadin, adherens junction formation factor [Source:MGI Symbol;Acc:MGI:1314653]","ARRAYEXPRESS,ENSG"
ENSMUSG00000037921,ENSMUSG00000037921,Ddx60,DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570],"ARRAYEXPRESS,ENSG"
ENSMUSG00000044393,ENSMUSG00000044393,Dsg2,desmoglein 2 [Source:MGI Symbol;Acc:MGI:1196466],"ARRAYEXPRESS,ENSG"
ENSMUSG00000047777,ENSMUSG00000047777,Phf13,PHD finger protein 13 [Source:MGI Symbol;Acc:MGI:2446217],"ARRAYEXPRESS,ENSG"
ENSMUSG00000029298,ENSMUSG00000029298,Gbp9,guanylate-binding protein 9 [Source:MGI Symbol;Acc:MGI:3605620],"ARRAYEXPRESS,ENSG"
ENSMUSG00000054404,ENSMUSG00000054404,Slfn5,schlafen 5 [Source:MGI Symbol;Acc:MGI:1329004],"ARRAYEXPRESS,ENSG"
ENSMUSG00000069833,ENSMUSG00000069833,Ahnak,AHNAK nucleoprotein (desmoyokin) [Source:MGI Symbol;Acc:MGI:1316648],"ARRAYEXPRESS,ENSG"
ENSMUSG00000023341,ENSMUSG00000023341,Mx2,MX dynamin-like GTPase 2 [Source:MGI Symbol;Acc:MGI:97244],"ARRAYEXPRESS,ENSG"
ENSMUSG00000104713,ENSMUSG00000104713,Gbp6,guanylate binding protein 6 [Source:MGI Symbol;Acc:MGI:2140937],"ARRAYEXPRESS,ENSG"
ENSMUSG00000064901,ENSMUSG00000064901,Snora21,"small nucleolar RNA, H/ACA box 21 [Source:MGI Symbol;Acc:MGI:3819493]","ARRAYEXPRESS,ENSG"
ENSMUSG00000020593,ENSMUSG00000020593,Lpin1,lipin 1 [Source:MGI Symbol;Acc:MGI:1891340],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026989,ENSMUSG00000026989,Dapl1,death associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1923997],"ARRAYEXPRESS,ENSG"
ENSMUSG00000064966,ENSMUSG00000064966,Snord15b,"small nucleolar RNA, C/D box 14B [Source:MGI Symbol;Acc:MGI:3779515]","ARRAYEXPRESS,ENSG"
ENSMUSG00000020644,ENSMUSG00000020644,Id2,inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397],"ARRAYEXPRESS,ENSG"
ENSMUSG00000029687,ENSMUSG00000029687,Ezh2,enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:MGI Symbol;Acc:MGI:107940],"ARRAYEXPRESS,ENSG"
ENSMUSG00000111212,ENSMUSG00000111212,5330432J10Rik,RIKEN cDNA 5330432J10 gene [Source:MGI Symbol;Acc:MGI:2443489],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037202,ENSMUSG00000037202,Prf1,perforin 1 (pore forming protein) [Source:MGI Symbol;Acc:MGI:97551],"ARRAYEXPRESS,ENSG"
ENSMUSG00000022892,ENSMUSG00000022892,App,amyloid beta (A4) precursor protein [Source:MGI Symbol;Acc:MGI:88059],"ARRAYEXPRESS,ENSG"
ENSMUSG00000007872,ENSMUSG00000007872,Id3,inhibitor of DNA binding 3 [Source:MGI Symbol;Acc:MGI:96398],"ARRAYEXPRESS,ENSG"
ENSMUSG00000064453,ENSMUSG00000064453,Snord21,"small nucleolar RNA, C/D box 21 [Source:MGI Symbol;Acc:MGI:102855]","ARRAYEXPRESS,ENSG"
ENSMUSG00000022901,ENSMUSG00000022901,Cd86,CD86 antigen [Source:MGI Symbol;Acc:MGI:101773],"ARRAYEXPRESS,ENSG"
ENSMUSG00000038371,ENSMUSG00000038371,Sbf2,SET binding factor 2 [Source:MGI Symbol;Acc:MGI:1921831],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027978,ENSMUSG00000027978,Prss12,"protease, serine 12 neurotrypsin (motopsin) [Source:MGI Symbol;Acc:MGI:1100881]","ARRAYEXPRESS,ENSG"
ENSMUSG00000040724,ENSMUSG00000040724,Kcna2,"potassium voltage-gated channel, shaker-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:96659]","ARRAYEXPRESS,ENSG"
ENSMUSG00000020891,ENSMUSG00000020891,Alox8,arachidonate 8-lipoxygenase [Source:MGI Symbol;Acc:MGI:1098228],"ARRAYEXPRESS,ENSG"
ENSMUSG00000033209,ENSMUSG00000033209,Ttc28,tetratricopeptide repeat domain 28 [Source:MGI Symbol;Acc:MGI:2140873],"ARRAYEXPRESS,ENSG"
ENSMUSG00000090272,ENSMUSG00000090272,Mndal,myeloid nuclear differentiation antigen like [Source:MGI Symbol;Acc:MGI:3780953],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097838,None,None,None,
ENSMUSG00000034349,ENSMUSG00000034349,Smc4,structural maintenance of chromosomes 4 [Source:MGI Symbol;Acc:MGI:1917349],"ARRAYEXPRESS,ENSG"
ENSMUSG00000095115,ENSMUSG00000095115,Itpripl2,"inositol 1,4,5-triphosphate receptor interacting protein-like 2 [Source:MGI Symbol;Acc:MGI:2442416]","ARRAYEXPRESS,ENSG"
ENSMUSG00000017493,ENSMUSG00000017493,Igfbp4,insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439],"ARRAYEXPRESS,ENSG"
ENSMUSG00000003882,ENSMUSG00000003882,Il7r,interleukin 7 receptor [Source:MGI Symbol;Acc:MGI:96562],"ARRAYEXPRESS,ENSG"
ENSMUSG00000068129,ENSMUSG00000068129,Cst7,cystatin F (leukocystatin) [Source:MGI Symbol;Acc:MGI:1298217],"ARRAYEXPRESS,ENSG"
ENSMUSG00000034165,ENSMUSG00000034165,Ccnd3,cyclin D3 [Source:MGI Symbol;Acc:MGI:88315],"ARRAYEXPRESS,ENSG"
ENSMUSG00000033565,ENSMUSG00000033565,Rbfox2,"RNA binding protein, fox-1 homolog (C. elegans) 2 [Source:MGI Symbol;Acc:MGI:1933973]","ARRAYEXPRESS,ENSG"
ENSMUSG00000034353,ENSMUSG00000034353,Ramp1,receptor (calcitonin) activity modifying protein 1 [Source:MGI Symbol;Acc:MGI:1858418],"ARRAYEXPRESS,ENSG"
ENSMUSG00000033024,ENSMUSG00000033024,Klra9,"killer cell lectin-like receptor subfamily A, member 9 [Source:MGI Symbol;Acc:MGI:1321153]","ARRAYEXPRESS,ENSG"
ENSMUSG00000031933,ENSMUSG00000031933,Izumo1r,"IZUMO1 receptor, JUNO [Source:MGI Symbol;Acc:MGI:1929185]","ARRAYEXPRESS,ENSG"
ENSMUSG00000105096,ENSMUSG00000105096,Gbp10,guanylate-binding protein 10 [Source:MGI Symbol;Acc:MGI:4359647],"ARRAYEXPRESS,ENSG"
ENSMUSG00000038151,ENSMUSG00000038151,Prdm1,"PR domain containing 1, with ZNF domain [Source:MGI Symbol;Acc:MGI:99655]","ARRAYEXPRESS,ENSG"
ENSMUSG00000000244,ENSMUSG00000000244,Tspan32,tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360],"ARRAYEXPRESS,ENSG"
ENSMUSG00000111264,ENSMUSG00000111264,E030022I16Rik,RIKEN cDNA E030022I16 gene [Source:MGI Symbol;Acc:MGI:2444690],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046807,ENSMUSG00000046807,Lrrc75b,leucine rich repeat containing 75B [Source:MGI Symbol;Acc:MGI:2143657],"ARRAYEXPRESS,ENSG"
ENSMUSG00000019866,ENSMUSG00000019866,Crybg1,crystallin beta-gamma domain containing 1 [Source:MGI Symbol;Acc:MGI:109544],"ARRAYEXPRESS,ENSG"
ENSMUSG00000073102,ENSMUSG00000073102,Drc1,dynein regulatory complex subunit 1 [Source:MGI Symbol;Acc:MGI:2685906],"ARRAYEXPRESS,ENSG"
ENSMUSG00000011267,ENSMUSG00000011267,Zfp296,zinc finger protein 296 [Source:MGI Symbol;Acc:MGI:1926956],"ARRAYEXPRESS,ENSG"
ENSMUSG00000003518,ENSMUSG00000003518,Dusp3,dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related) [Source:MGI Symbol;Acc:MGI:1919599],"ARRAYEXPRESS,ENSG"
ENSMUSG00000109539,ENSMUSG00000109539,Gm44667,predicted gene 44667 [Source:MGI Symbol;Acc:MGI:5753243],"ARRAYEXPRESS,ENSG"
ENSMUSG00000080465,ENSMUSG00000080465,Snord94,"small nucleolar RNA, C/D box 94 [Source:MGI Symbol;Acc:MGI:5452263]","ARRAYEXPRESS,ENSG"
ENSMUSG00000031652,ENSMUSG00000031652,N4bp1,NEDD4 binding protein 1 [Source:MGI Symbol;Acc:MGI:2136825],"ARRAYEXPRESS,ENSG"
ENSMUSG00000036568,ENSMUSG00000036568,Bicral,BRD4 interacting chromatin remodeling complex associated protein like [Source:MGI Symbol;Acc:MGI:2673855],"ARRAYEXPRESS,ENSG"
ENSMUSG00000047293,ENSMUSG00000047293,Gpr15,G protein-coupled receptor 15 [Source:MGI Symbol;Acc:MGI:1918473],"ARRAYEXPRESS,ENSG"
ENSMUSG00000096833,ENSMUSG00000096833,Igkv4-55,immunoglobulin kappa variable 4-55 [Source:MGI Symbol;Acc:MGI:2686370],"ARRAYEXPRESS,ENSG"
ENSMUSG00000039531,ENSMUSG00000039531,Zup1,zinc finger containing ubiquitin peptidase 1 [Source:MGI Symbol;Acc:MGI:1919830],"ARRAYEXPRESS,ENSG"
ENSMUSG00000032254,ENSMUSG00000032254,Kif23,kinesin family member 23 [Source:MGI Symbol;Acc:MGI:1919069],"ARRAYEXPRESS,ENSG"
ENSMUSG00000024659,ENSMUSG00000024659,Anxa1,annexin A1 [Source:MGI Symbol;Acc:MGI:96819],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097289,None,None,None,
ENSMUSG00000022816,ENSMUSG00000022816,Fstl1,follistatin-like 1 [Source:MGI Symbol;Acc:MGI:102793],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103216,ENSMUSG00000103216,Gm37248,"predicted gene, 37248 [Source:MGI Symbol;Acc:MGI:5610476]","ARRAYEXPRESS,ENSG"
ENSMUSG00000038128,ENSMUSG00000038128,Camk4,calcium/calmodulin-dependent protein kinase IV [Source:MGI Symbol;Acc:MGI:88258],"ARRAYEXPRESS,ENSG"
ENSMUSG00000020601,ENSMUSG00000020601,Trib2,tribbles pseudokinase 2 [Source:MGI Symbol;Acc:MGI:2145021],"ARRAYEXPRESS,ENSG"
ENSMUSG00000109005,ENSMUSG00000109005,Gm45221,predicted gene 45221 [Source:MGI Symbol;Acc:MGI:5753797],"ARRAYEXPRESS,ENSG"
ENSMUSG00000093044,ENSMUSG00000093044,Snord8,"small nucleolar RNA, C/D box 8 [Source:MGI Symbol;Acc:MGI:3819556]","ARRAYEXPRESS,ENSG"
ENSMUSG00000069911,ENSMUSG00000069911,Insyn2b,inhibitory synaptic factor family member 2B [Source:MGI Symbol;Acc:MGI:3643491],"ARRAYEXPRESS,ENSG"
ENSMUSG00000031428,ENSMUSG00000031428,Zcchc18,"zinc finger, CCHC domain containing 18 [Source:MGI Symbol;Acc:MGI:1914245]","ARRAYEXPRESS,ENSG"
ENSMUSG00000102719,ENSMUSG00000102719,Gm37760,"predicted gene, 37760 [Source:MGI Symbol;Acc:MGI:5610988]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028885,ENSMUSG00000028885,Smpdl3b,"sphingomyelin phosphodiesterase, acid-like 3B [Source:MGI Symbol;Acc:MGI:1916022]","ARRAYEXPRESS,ENSG"
ENSMUSG00000051537,ENSMUSG00000051537,Gm5124,predicted pseudogene 5124 [Source:MGI Symbol;Acc:MGI:3643622],"ARRAYEXPRESS,ENSG"
ENSMUSG00000032204,ENSMUSG00000032204,Aqp9,aquaporin 9 [Source:MGI Symbol;Acc:MGI:1891066],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027074,ENSMUSG00000027074,Slc43a3,"solute carrier family 43, member 3 [Source:MGI Symbol;Acc:MGI:1931054]","ARRAYEXPRESS,ENSG"
ENSMUSG00000101970,ENSMUSG00000101970,Chaserr,CHD2 adjacent suppressive regulatory RNA [Source:MGI Symbol;Acc:MGI:1916420],"ARRAYEXPRESS,ENSG"
ENSMUSG00000042082,ENSMUSG00000042082,Arsb,arylsulfatase B [Source:MGI Symbol;Acc:MGI:88075],"ARRAYEXPRESS,ENSG"
ENSMUSG00000031802,ENSMUSG00000031802,Phxr4,per-hexamer repeat gene 4 [Source:MGI Symbol;Acc:MGI:104522],"ARRAYEXPRESS,ENSG"
ENSMUSG00000027778,ENSMUSG00000027778,Ift80,intraflagellar transport 80 [Source:MGI Symbol;Acc:MGI:1915509],"ARRAYEXPRESS,ENSG"
ENSMUSG00000087968,ENSMUSG00000087968,Gm25395,"predicted gene, 25395 [Source:MGI Symbol;Acc:MGI:5455172]","ARRAYEXPRESS,ENSG"
ENSMUSG00000001025,ENSMUSG00000001025,S100a6,S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467],"ARRAYEXPRESS,ENSG"
ENSMUSG00000076569,ENSMUSG00000076569,Igkv5-39,immunoglobulin kappa variable 5-39 [Source:MGI Symbol;Acc:MGI:2686255],"ARRAYEXPRESS,ENSG"
ENSMUSG00000042489,ENSMUSG00000042489,Clspn,claspin [Source:MGI Symbol;Acc:MGI:2445153],"ARRAYEXPRESS,ENSG"
ENSMUSG00000014932,ENSMUSG00000014932,Yes1,"YES proto-oncogene 1, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:99147]","ARRAYEXPRESS,ENSG"
ENSMUSG00000104125,ENSMUSG00000104125,Gm37488,"predicted gene, 37488 [Source:MGI Symbol;Acc:MGI:5610716]","ARRAYEXPRESS,ENSG"
ENSMUSG00000020108,ENSMUSG00000020108,Ddit4,DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997],"ARRAYEXPRESS,ENSG"
ENSMUSG00000053411,ENSMUSG00000053411,Cbx7,chromobox 7 [Source:MGI Symbol;Acc:MGI:1196439],"ARRAYEXPRESS,ENSG"
ENSMUSG00000109429,ENSMUSG00000109429,Gm45223,predicted gene 45223 [Source:MGI Symbol;Acc:MGI:5753799],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103253,ENSMUSG00000103253,Gm37520,"predicted gene, 37520 [Source:MGI Symbol;Acc:MGI:5610748]","ARRAYEXPRESS,ENSG"
ENSMUSG00000035000,ENSMUSG00000035000,Dpp4,dipeptidylpeptidase 4 [Source:MGI Symbol;Acc:MGI:94919],"ARRAYEXPRESS,ENSG"
ENSMUSG00000110195,ENSMUSG00000110195,Pde2a,"phosphodiesterase 2A, cGMP-stimulated [Source:MGI Symbol;Acc:MGI:2446107]","ARRAYEXPRESS,ENSG"
ENSMUSG00000000386,ENSMUSG00000000386,Mx1,MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243],"ARRAYEXPRESS,ENSG"
ENSMUSG00000000817,ENSMUSG00000000817,Fasl,"Fas ligand (TNF superfamily, member 6) [Source:MGI Symbol;Acc:MGI:99255]","ARRAYEXPRESS,ENSG"
ENSMUSG00000033066,ENSMUSG00000033066,Gas7,growth arrest specific 7 [Source:MGI Symbol;Acc:MGI:1202388],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046532,ENSMUSG00000046532,Ar,androgen receptor [Source:MGI Symbol;Acc:MGI:88064],"ARRAYEXPRESS,ENSG"
ENSMUSG00000013698,ENSMUSG00000013698,Pea15a,proliferation and apoptosis adaptor protein 15A [Source:MGI Symbol;Acc:MGI:104799],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028228,ENSMUSG00000028228,Cpne3,copine III [Source:MGI Symbol;Acc:MGI:1917818],"ARRAYEXPRESS,ENSG"
ENSMUSG00000039899,ENSMUSG00000039899,Fgl2,fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266],"ARRAYEXPRESS,ENSG"
ENSMUSG00000078945,ENSMUSG00000078945,Naip2,"NLR family, apoptosis inhibitory protein 2 [Source:MGI Symbol;Acc:MGI:1298226]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028782,ENSMUSG00000028782,Adgrb2,adhesion G protein-coupled receptor B2 [Source:MGI Symbol;Acc:MGI:2451244],"ARRAYEXPRESS,ENSG"
ENSMUSG00000113313,ENSMUSG00000113313,Gm32036,"predicted gene, 32036 [Source:MGI Symbol;Acc:MGI:5591195]","ARRAYEXPRESS,ENSG"
ENSMUSG00000036768,ENSMUSG00000036768,Kif15,kinesin family member 15 [Source:MGI Symbol;Acc:MGI:1098258],"ARRAYEXPRESS,ENSG"
ENSMUSG00000089281,ENSMUSG00000089281,Scarna6,small Cajal body-specific RNA 6 [Source:MGI Symbol;Acc:MGI:3819487],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097636,ENSMUSG00000097636,Mirt1,myocardial infarction associated transcript 1 [Source:MGI Symbol;Acc:MGI:1922001],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097344,None,None,None,
ENSMUSG00000021843,ENSMUSG00000021843,Ktn1,kinectin 1 [Source:MGI Symbol;Acc:MGI:109153],"ARRAYEXPRESS,ENSG"
ENSMUSG00000007564,ENSMUSG00000007564,Ppp2r1a,"protein phosphatase 2, regulatory subunit A, alpha [Source:MGI Symbol;Acc:MGI:1926334]","ARRAYEXPRESS,ENSG"
ENSMUSG00000059901,ENSMUSG00000059901,Adamts14,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14 [Source:MGI Symbol;Acc:MGI:2179942]","ARRAYEXPRESS,ENSG"
ENSMUSG00000070501,ENSMUSG00000070501,Ifi214,interferon activated gene 214 [Source:MGI Symbol;Acc:MGI:3584522],"ARRAYEXPRESS,ENSG"
ENSMUSG00000107955,ENSMUSG00000107955,Gm44027,"predicted gene, 44027 [Source:MGI Symbol;Acc:MGI:5690419]","ARRAYEXPRESS,ENSG"
ENSMUSG00000022114,ENSMUSG00000022114,Spry2,sprouty RTK signaling antagonist 2 [Source:MGI Symbol;Acc:MGI:1345138],"ARRAYEXPRESS,ENSG"
ENSMUSG00000095217,ENSMUSG00000095217,H2bc15,H2B clustered histone 15 [Source:MGI Symbol;Acc:MGI:2448407],"ARRAYEXPRESS,ENSG"
ENSMUSG00000030149,ENSMUSG00000030149,Klrk1,"killer cell lectin-like receptor subfamily K, member 1 [Source:MGI Symbol;Acc:MGI:1196250]","ARRAYEXPRESS,ENSG"
ENSMUSG00000109536,ENSMUSG00000109536,9330162G02Rik,RIKEN cDNA 9330162G02 gene [Source:MGI Symbol;Acc:MGI:2442217],"ARRAYEXPRESS,ENSG"
ENSMUSG00000102212,ENSMUSG00000102212,C230085N15Rik,RIKEN cDNA C230085N15 gene [Source:MGI Symbol;Acc:MGI:2444267],"ARRAYEXPRESS,ENSG"
ENSMUSG00000109498,ENSMUSG00000109498,Gm45222,predicted gene 45222 [Source:MGI Symbol;Acc:MGI:5753798],"ARRAYEXPRESS,ENSG"
ENSMUSG00000000627,ENSMUSG00000000627,Sema4f,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]","ARRAYEXPRESS,ENSG"
ENSMUSG00000033849,ENSMUSG00000033849,B3galt2,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2 [Source:MGI Symbol;Acc:MGI:1349461]","ARRAYEXPRESS,ENSG"
ENSMUSG00000114605,ENSMUSG00000114605,C130051F05Rik,RIKEN cDNA C130051F05 gene [Source:MGI Symbol;Acc:MGI:2443856],"ARRAYEXPRESS,ENSG"
ENSMUSG00000000303,ENSMUSG00000000303,Cdh1,cadherin 1 [Source:MGI Symbol;Acc:MGI:88354],"ARRAYEXPRESS,ENSG"
ENSMUSG00000103676,ENSMUSG00000103676,Gm38204,"predicted gene, 38204 [Source:MGI Symbol;Acc:MGI:5611432]","ARRAYEXPRESS,ENSG"
ENSMUSG00000065287,ENSMUSG00000065287,Gm24451,"predicted gene, 24451 [Source:MGI Symbol;Acc:MGI:5454228]","ARRAYEXPRESS,ENSG"
ENSMUSG00000067235,ENSMUSG00000067235,H2-Q10,"histocompatibility 2, Q region locus 10 [Source:MGI Symbol;Acc:MGI:95929]","ARRAYEXPRESS,ENSG"
ENSMUSG00000034311,ENSMUSG00000034311,Kif4,kinesin family member 4 [Source:MGI Symbol;Acc:MGI:108389],"ARRAYEXPRESS,ENSG"
ENSMUSG00000058975,ENSMUSG00000058975,Kcnc1,"potassium voltage gated channel, Shaw-related subfamily, member 1 [Source:MGI Symbol;Acc:MGI:96667]","ARRAYEXPRESS,ENSG"
ENSMUSG00000077254,ENSMUSG00000077254,Gm26079,"predicted gene, 26079 [Source:MGI Symbol;Acc:MGI:5455856]","ARRAYEXPRESS,ENSG"
ENSMUSG00000076463,ENSMUSG00000076463,Trbv3,"T cell receptor beta, variable 3 [Source:MGI Symbol;Acc:MGI:98590]","ARRAYEXPRESS,ENSG"
ENSMUSG00000009633,ENSMUSG00000009633,G0s2,G0/G1 switch gene 2 [Source:MGI Symbol;Acc:MGI:1316737],"ARRAYEXPRESS,ENSG"
ENSMUSG00000017830,ENSMUSG00000017830,Dhx58,DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560],"ARRAYEXPRESS,ENSG"
ENSMUSG00000034591,ENSMUSG00000034591,Slc41a2,"solute carrier family 41, member 2 [Source:MGI Symbol;Acc:MGI:2442940]","ARRAYEXPRESS,ENSG"
